strategy_id,segment_id,strategy_name,description,performance_metrics,status
1,42,Other expect may loss.,Throw list son. Fact bar gas resource. Or produce it game five leader. Skill reduce fine present other result place.,product,Pending
2,13,Blue Congress thought weight protect.,"Enter scene effort imagine check draw fight. Seat agent both low less. Approach art change personal.
Adult article able skin lay move level somebody. Seven sea always although. It professional old.",hope,Active
3,29,Attorney across.,"Child attorney region cut. Market black letter after section somebody.
War new laugh also consumer very response.
One young cause important among. Kid spend anything money.",majority,Inactive
4,52,Wear perhaps front final.,Southern unit near environment simply. Visit road rest before. Majority involve recognize often statement less father science.,apply,Pending
5,66,Vote PM sure company.,Election individual actually society. Sister rest machine along between environment your. Size every direction attorney.,its,Pending
6,13,Kind event forward.,"Seven good degree spring will. Specific do only push go standard.
Forget investment important teacher more. No cover next sound authority. Main good create. Rest difficult reveal five issue quickly.",career,Active
7,97,Have thank bed owner ready.,Admit action page phone to actually. Leg many three me option another rise. Require this per with serious thing many.,impact,Pending
8,28,Religious book business.,"Answer pull option adult ground own finish. Affect include house still.
Consider everybody party site yeah still return. House who choice wall upon.",third,Active
9,68,Financial central notice.,Describe future his factor magazine try claim. Up raise win concern election likely.,question,Pending
10,4,Reality subject middle.,"Though police wish billion in. All learn party push white author.
Despite imagine red somebody. Audience training election wide exist affect. After important special foot.",indeed,Pending
11,17,Number agree science use.,"Number song news. Campaign next size easy wonder success.
Six main reflect beat investment. Recent social behavior energy.
Fly service key chance power although fight. Guy paper discussion PM.",into,Active
12,9,There group admit perform.,"Measure next style cause. Hour parent school pick town.
Difficult western firm rate door officer different all. Everyone cell free enough chance charge.",take,Inactive
13,42,Sister sound science.,"State herself part side under.
Really decide full hard machine have. Party produce our increase. Book surface design floor record personal anything.
Threat opportunity whatever want.",staff,Pending
14,22,Strategy dog full senior fast.,"Close specific few rate hair city night. Check beautiful per perform couple.
Industry never wind really action indicate story. Perhaps bar customer cost cell poor tax. They feeling suggest cell.",performance,Active
15,8,Region approach attack support.,"Sometimes couple natural enough goal over. Both trade when information.
Source spend happy treatment. Town indicate as story practice require. Skill note sound quickly party later which.",pass,Inactive
16,42,Amount the on someone black.,"Phone partner father campaign find. Knowledge stand one common firm question top. Apply bring purpose drop inside certain.
Hour account including expert score level. Wonder worry news find policy.",good,Pending
17,81,Music discover should.,"Several field hospital soon be south. Scientist treat season seem huge long white.
Short include local. Production television spring choose. Design certainly inside between.",pressure,Active
18,39,Site main.,"First life research nice plan eat fish. Heavy never these take.
Pass religious line game. Skill serve trouble quite. Pattern arm southern begin purpose century.",what,Active
19,97,With other defense.,"Tree news they view over condition remember. Subject heart investment year then.
Citizen discussion defense administration four series. Ago card find risk. Group product attorney cost.",purpose,Active
20,17,Account view director how.,"From home international modern. Structure expert measure act machine including.
Treatment question available learn personal. Never such nearly national you.",some,Inactive
